closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
                Wuji Ring |          0 |             Wardrobe |                                                                                          |                                                    wuji ring
              Tzacab Grip |          0 |                 Safe |                                                                                          |                                                  tzacab grip
          Kubira Meikogai |          0 |               Safe 2 |                                                                                          |                                              kubira meikogai
               Kustawi +1 |          0 |            Inventory |                                                                                          |                                                   kustawi +1
          Lanun Bottes +3 |          0 |           Wardrobe 7 |                                                                                          |                                              lanun bottes +3
       Tatena. Haidate +1 |          0 |           Wardrobe 8 |                                                                                          |                                         tatenashi haidate +1
         Odyssean Cuisses |          0 |   Safe 2, Wardrobe 7 |                                                                                          |                                             odyssean cuisses
            Helios Jacket |          0 |           Wardrobe 3 |                                                                                          |                                                helios jacket
        Clotharius Torque |          0 |           Wardrobe 4 |                                                                                          |                                            clotharius torque
        Mallquis Trews +2 |          0 |                 Safe |                                                                                          |                                            mallquis trews +2
            Taeon Chapeau |          0 |           Wardrobe 8 |                                                                                          |                                                taeon chapeau
        Sakpata's Cuisses |          0 |           Wardrobe 6 |                                                                                          |                                            Sakpata's cuisses
        Hiza. Haramaki +2 |          0 |           Wardrobe 7 |                                                                                          |                                         Hizamaru haramaki +2
              Iron Gobbet |          0 |           Wardrobe 4 |                                                                                          |                                                  iron gobbet
            Ikenga's Vest |          0 |           Wardrobe 7 |                                                                                          |                                                Ikenga's vest
             Sobek's Skin |          0 |               Locker |                                                                                          |                                                 Sobek's skin
         Ethereal Earring |          0 |           Wardrobe 4 |                                                                                          |                                             ethereal earring
              Yetshila +1 |          0 |           Wardrobe 5 |                                                                                          |                                                  Yetshila +1
          Eschite Greaves |          0 |            Inventory |                                                                                          |                                              eschite greaves
         Hidhaegg's Scale |          0 |         Locker, Case |                                                                                          |                                             Hidhaegg's scale
          Black Curry Bun |          0 |            Inventory |                                                                                          |                                              black curry bun
           Alaunus's Cape |          0 |           Wardrobe 6 |                                                                                          |                                               Alaunus's cape
      Sulevia's Plate. +2 |          0 |           Wardrobe 8 |                                                                                          |                                       Sulevia's platemail +2
            Crep. Earring |          0 |           Wardrobe 5 |                                                                                          |                                          crepuscular earring
        Shabti Cuisses +1 |          0 |           Wardrobe 3 |                                                                                          |                                            shabti cuisses +1
       Moonlight Necklace |          0 |           Wardrobe 5 |                                                                                          |                                           moonlight necklace
             Apogee Mitts |          0 |           Wardrobe 8 |                                                                                          |                                                 apogee mitts
        Sulevia's Mask +2 |          0 |           Wardrobe 8 |                                                                                          |                                            Sulevia's mask +2
                 Godhands |          0 |           Wardrobe 4 |                                                                                          |                                                     Godhands
         Osh. Leggings +1 |          0 |            Inventory |                                                                                          |                                           Oshosi leggings +1
       Adhemar Wristbands |          0 |               Safe 2 |                                                                                          |                                           adhemar wristbands
        Adhemar Bonnet +1 |          0 |           Wardrobe 7 |                                                                                          |                                            adhemar bonnet +1
            Pitre Tobe +3 |          0 |           Wardrobe 8 |                                                                                          |                                                pitre tobe +3
          Tactical Mantle |          0 |            Inventory |                                                                                          |                                              tactical mantle
        Fi Follet Cape +1 |          0 |           Wardrobe 6 |                                                                                          |                                            fi follet cape +1
            Alfard's Fang |          0 |               Locker |                                                                                          |                                                Alfard's fang
           Defending Ring |          0 |           Wardrobe 4 |                                                                                          |                                               defending ring
          Moonbow Belt +1 |          0 |             Wardrobe |                                                                                          |                                              moonbow belt +1
          Hachirin-no-Obi |          0 |           Wardrobe 4 |                                                                                          |                                              hachirin-no-obi
           Ebers Pant. +2 |          0 |           Wardrobe 6 |                                                                                          |                                          ebers pantaloons +2
        Macabre Gaunt. +1 |          0 |                 Sack |                                                                                          |                                         macabre gauntlets +1
           Twilight Knife |          0 |               Locker |                                                                                          |                                               Twilight knife
          Rosmerta's Cape |          0 |           Wardrobe 6 |                                                                                          |                                              Rosmerta's cape
           Ratri Gadlings |          0 |           Wardrobe 3 |                                                                                          |                                               Ratri gadlings
              Ryuo Hakama |          0 |           Wardrobe 3 |                                                                                          |                                                  ryuo hakama
            Mallquis Ring |          0 |           Wardrobe 4 |                                                                                          |                                                mallquis ring
           Solemnity Cape |          0 |           Wardrobe 6 |                                                                                          |                                               solemnity cape
              Oshosi Vest |          0 |           Wardrobe 8 |                                                                                          |                                                  Oshosi vest
          Acerbic Sash +1 |          0 |               Locker |                                                                                          |                                              acerbic sash +1
         Herald's Gaiters |          0 |           Wardrobe 7 |                                                                                          |                                             herald's gaiters
          Lustreless Wing |          0 |           Safe, Case |                                                                                          |                                              lustreless wing
             Shedu's Mane |          0 |               Safe 2 |                                                                                          |                                                 Shedu's mane
        Tali'ah Turban +2 |          0 |           Wardrobe 6 |                                                                                          |                                            tali'ah turban +2
             Olympus Sash |          0 |           Wardrobe 5 |                                                                                          |                                                 olympus sash
              Sors Shield |          0 |           Wardrobe 2 |                                                                                          |                                                  sors shield
              Naga Kyahan |          0 |               Safe 2 |                                                                                          |                                                  naga kyahan
       Glyphic Doublet +3 |          0 |           Wardrobe 7 |                                                                                          |                                           glyphic doublet +3
           Genmei Earring |          0 |           Wardrobe 4 |                                                                                          |                                               genmei earring
           Pratik Earring |          0 |           Wardrobe 3 |                                                                                          |                                               pratik earring
          Mirage Stole +2 |          0 |           Wardrobe 5 |                                                                                          |                                              mirage stole +2
         Friomisi Earring |          0 |             Wardrobe |                                                                                          |                                             friomisi earring
            Caro Necklace |          0 |           Wardrobe 5 |                                                                                          |                                                caro necklace
             Pitre Taj +3 |          0 |           Wardrobe 7 |                                                                                          |                                                 pitre taj +3
                 Ea Slops |          0 |           Wardrobe 6 |                                                                                          |                                                     Ea slops
            Genmei Kabuto |          0 |                 Safe |                                                                                          |                                                genmei kabuto
       Hermes' Sandals +1 |          0 |           Wardrobe 7 |                                                                                          |                                           Hermes' sandals +1
        Flamma Korazin +2 |          0 |             Wardrobe |                                                                                          |                                            flamma korazin +2
           Meg. Gloves +2 |          0 |           Wardrobe 6 |                                                                                          |                                          meghanada gloves +2
                Glyph Axe |          0 |              Satchel |                                                                                          |                                                    glyph axe
       Nantosuelta's Cape |          0 |           Wardrobe 6 |                                                                                          |                                           Nantosuelta's cape
             Apogee Crown |          0 |           Wardrobe 3 |                                                                                          |                                                 apogee crown
        Malignance Tights |          0 |           Wardrobe 8 |                                                                                          |                                            malignance tights
               Anarchy +2 |          0 |           Wardrobe 2 |                                                                                          |                                                   anarchy +2
           Abdhaljs Metal |          0 |               Locker |                                                                                          |                                       vial of Abdhaljs metal
        Asperity Necklace |          0 |           Wardrobe 5 |                                                                                          |                                            asperity necklace
            Varar Ring +1 |          0 | Wardrobe 4, Wardrobe 4 |                                                                                          |                                                varar ring +1
       Tatena. Harama. +1 |          0 |           Wardrobe 8 |                                                                                          |                                        tatenashi haramaki +1
         Blurred Knife +1 |          0 |           Wardrobe 2 |                                                                                          |                                             blurred knife +1
          Toreutic Shield |          0 |           Wardrobe 3 |                                                                                          |                                              toreutic shield
                 Isa Belt |          0 |           Wardrobe 3 |                                                                                          |                                                     isa belt
          Cryptic Earring |          0 |           Wardrobe 4 |                                                                                          |                                              cryptic earring
           C. Palug Crown |          0 |           Wardrobe 6 |                                                                                          |                                             Cath Palug crown
           Regal Necklace |          0 |             Wardrobe |                                                                                          |                                               regal necklace
              Sanus Ensis |          0 |               Safe 2 |                                                                                          |                                                  sanus ensis
            War. Beads +2 |          0 |           Wardrobe 4 |                                                                                          |                                   warrior's bead necklace +2
      Nicander's Necklace |          0 |             Wardrobe |                                                                                          |                                          Nicander's necklace
            Sroda Earring |          0 |           Wardrobe 8 |                                                                                          |                                                sroda earring
            Vim Torque +1 |          0 |           Wardrobe 3 |                                                                                          |                                                vim torque +1
           Heyoka Mittens |          0 |               Locker |                                                                                          |                                               Heyoka mittens
                   Arktoi |          0 |               Safe 2 |                                                                                          |                                                       Arktoi
             Byakko Scrap |          0 |              Satchel |                                                                                          |                                         seal of Byakko scrap
          Medium's Sabots |          0 |           Wardrobe 7 |                                                                                          |                                              medium's sabots
        Instant Stoneskin |          0 |                 Case |                                                                                          |                                  scroll of Instant Stoneskin
                   Chango |          0 |           Wardrobe 2 |                                                                                          |                                                       Chango
        Kara. Farsetto +1 |          0 |           Wardrobe 8 |                                                                                          |                                          karagoz farsetto +1
           Walahra Burner |          0 |               Safe 2 |                                                                                          |                                               Walahra burner
          Psycloth Lappas |          0 |           Wardrobe 7 |                                                                                          |                                              psycloth lappas
       Chev. Gauntlets +2 |          0 |           Wardrobe 6 |                                                                                          |                                     chevalier's gauntlets +2
        Kara. Cappello +2 |          0 |           Wardrobe 3 |                                                                                          |                                          karagoz cappello +2
        Vermillion's Wing |          0 |              Satchel |                                                                                          |                                    Vermillion Fishfly's wing
          Hangaku-no-Yumi |          0 |           Wardrobe 2 |                                                                                          |                                              Hangaku-no-Yumi
          Contemplator +1 |          0 |           Wardrobe 2 |                                                                                          |                                              Contemplator +1
       Mephitas's Ring +1 |          0 |           Wardrobe 4 |                                                                                          |                                           Mephitas's ring +1
          Cichol's Mantle |          0 | Wardrobe 6, Wardrobe 6 |                                                                                          |                                              Cichol's mantle
         Apogee Slacks +1 |          0 |           Wardrobe 7 |                                                                                          |                                             apogee slacks +1
         Camulus's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                             Camulus's mantle
              Shango Robe |          0 |           Wardrobe 8 |                                                                                          |                                                  shango robe
            Jute Boots +1 |          0 |           Wardrobe 7 |                                                                                          |                                                jute boots +1
       Epaminondas's Ring |          0 |             Wardrobe |                                                                                          |                                           Epaminondas's ring
             Nusku Shield |          0 |           Wardrobe 6 |                                                                                          |                                                 Nusku shield
       Fili Hongreline +1 |          0 |           Wardrobe 3 |                                                                                          |                                           fili hongreline +1
        Visucius's Mantle |          0 | Wardrobe 6, Wardrobe 6 |                                                                                          |                                            Visucius's mantle
               Brilliance |          0 |           Wardrobe 2 |                                                                                          |                                                   brilliance
         Aurist's Cape +1 |          0 |           Wardrobe 6 |                                                                                          |                                             aurist's cape +1
          Chr. Bul. Pouch |          0 |               Safe 2 |                                                                                          |                                          chrono bullet pouch
           Copper Voucher |          0 |               Safe 2 |                                                                                          |                                      copper A.M.A.N. voucher
           Fortified Ring |          0 |           Wardrobe 4 |                                                                                          |                                               fortified ring
                  Reikiko |          0 |               Safe 2 |                                                                                          |                                                      Reikiko
           Eabani Earring |          0 |           Wardrobe 5 |                                                                                          |                                               eabani earring
           Gifted Earring |          0 |           Wardrobe 4 |                                                                                          |                                               gifted earring
        Hashishin Earring |          0 |         Sack, Safe 2 |                                                                                          |                                            hashishin earring
             Trux Earring |          0 |           Wardrobe 5 |                                                                                          |                                                 trux earring
            Nodens Gorget |          0 |           Wardrobe 5 |                                                                                          |                                                nodens gorget
                   Tauret |          0 |           Wardrobe 4 |                                                                                          |                                                       Tauret
            Takaha Mantle |          0 |           Wardrobe 6 |                                                                                          |                                                takaha mantle
       Oshasha's Treatise |          0 |               Safe 2 |                                                                                          |                                           Oshasha's treatise
           Creed Baudrier |          0 |           Wardrobe 5 |                                                                                          |                                               creed baudrier
          Mummu Jacket +2 |          0 |           Wardrobe 8 |                                                                                          |                                              Mummu jacket +2
                  Ushenzi |          0 |               Safe 2 |                                                                                          |                                                      ushenzi
               Dolichenus |          0 |           Wardrobe 2 |                                                                                          |                                                   Dolichenus
         Shab. Cuirass +1 |          0 |             Wardrobe |                                                                                          |                                            shabti cuirass +1
            Gleti's Boots |          0 |           Wardrobe 7 |                                                                                          |                                                Gleti's boots
        Decimating Bullet |          0 | Satchel, Sack, Sack, Case |                                                                                          |                                            decimating bullet
        Hjarrandi Breast. |          0 |             Wardrobe |                                                                                          |                                        Hjarrandi breastplate
         Dispersal Mantle |          0 |           Wardrobe 6 |                                                                                          |                                             dispersal mantle
           Adhemar Jacket |          0 |               Safe 2 |                                                                                          |                                               adhemar jacket
       Chass. Tricorne +1 |          0 |           Wardrobe 8 |                                                                                          |                                       chasseur's tricorne +1
                 Twashtar |          0 |           Wardrobe 2 |                                                                                          |                                                     Twashtar
         Cab. Leggings +3 |          0 |           Wardrobe 7 |                                                                                          |                                      caballarius leggings +3
         Adhemar Gamashes |          0 |                 Safe |                                                                                          |                                             adhemar gamashes
            Warden's Ring |          0 |           Wardrobe 5 |                                                                                          |                                                warden's ring
        Austerity Belt +1 |          0 |           Wardrobe 5 |                                                                                          |                                            austerity belt +1
         Enmerkar Earring |          0 |           Wardrobe 3 |                                                                                          |                                             Enmerkar earring
                 Xiucoatl |          0 |           Wardrobe 4 |                                                                                          |                                                     Xiucoatl
         Kaykaus Cuffs +1 |          0 |           Wardrobe 7 |                                                                                          |                                             kaykaus cuffs +1
                 Karambit |          0 |           Wardrobe 4 |                                                                                          |                                                     Karambit
        Balder Earring +1 |          0 |           Wardrobe 7 |                                                                                          |                                            Balder earring +1
                  Oranyan |          0 |                 Safe |                                                                                          |                                                      Oranyan
              Purity Ring |          0 |           Wardrobe 4 |                                                                                          |                                                  purity ring
              Skullrender |          0 |       Locker, Safe 2 |                                                                                          |                                                  skullrender
        Mallquis Clogs +2 |          0 |                 Safe |                                                                                          |                                            mallquis clogs +2
             Niobid Strap |          0 |           Wardrobe 3 |                                                                                          |                                                 niobid strap
         Ryuo Sune-Ate +1 |          0 |             Wardrobe |                                                                                          |                                             ryuo sune-ate +1
           Baetyl Pendant |          0 |           Wardrobe 4 |                                                                                          |                                               baetyl pendant
       Enervating Earring |          0 |           Wardrobe 5 |                                                                                          |                                           enervating earring
         Geo. Mitaines +1 |          0 |               Safe 2 |                                                                                          |                                         geomancy mitaines +1
               Etana Ring |          0 |                 Safe |                                                                                          |                                                   etana ring
              Skaoi Boots |          0 |               Safe 2 |                                                                                          |                                                  skaoi boots
           Gishdubar Sash |          0 |           Wardrobe 4 |                                                                                          |                                               gishdubar sash
            Eddy Necklace |          0 |             Wardrobe |                                                                                          |                                                eddy necklace
                Troll Gun |          0 |               Safe 2 |                                                                                          |                                                    Troll gun
       Staunch Tathlum +1 |          0 |           Wardrobe 2 |                                                                                          |                                           staunch tathlum +1
          Malignance Pole |          0 |           Wardrobe 2 |                                                                                          |                                              malignance pole
           Magoraga Beads |          0 |           Wardrobe 7 |                                                                                          |                                       Magoraga bead necklace
              Emicho Hose |          0 |               Locker |                                                                                          |                                                  emicho hose
              Flamma Ring |          0 |           Wardrobe 5 |                                                                                          |                                                  flamma ring
         Caller's Pendant |          0 |           Wardrobe 5 |                                                                                          |                                             caller's pendant
         Chev. Cuirass +2 |          0 |           Wardrobe 5 |                                                                                          |                                       chevalier's cuirass +2
       Brigantia's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                           Brigantia's mantle
             Creed Collar |          0 |           Wardrobe 3 |                                                                                          |                                                 creed collar
              Fervor Ring |          0 |           Wardrobe 4 |                                                                                          |                                                  fervor ring
              Hesperiidae |          0 |              Satchel |                                                                                          |                                                  Hesperiidae
           Gldsmth. Stall |          0 |                 Safe |                                                                                          |                                            Goldsmiths' stall
           Domes. Earring |          0 |           Wardrobe 3 |                                                                                          |                                       domesticator's earring
         Mall. Chapeau +2 |          0 |                 Safe |                                                                                          |                                          mallquis chapeau +2
             Jumalik Helm |          0 |                 Sack |                                                                                          |                                                 jumalik helm
                Midnights |          0 |           Wardrobe 4 |                                                                                          |                                                    midnights
          Sakpata's Fists |          0 |                 Safe |                                                                                          |                                              Sakpata's fists
         Cab. Breeches +3 |          0 |           Wardrobe 3 |                                                                                          |                                      caballarius breeches +3
             Ratri Sallet |          0 |           Wardrobe 3 |                                                                                          |                                                 Ratri sallet
            Coiste Bodhar |          0 |           Wardrobe 3 |                                                                                          |                                                Coiste Bodhar
        Warder's Charm +1 |          0 |           Wardrobe 3 |                                                                                          |                                            warder's charm +1
              Crocea Mors |          0 |           Wardrobe 2 |                                                                                          |                                                  Crocea Mors
             Reti Pendant |          0 |           Wardrobe 5 |                                                                                          |                                                 reti pendant
           Resonance Ring |          0 |                 Sack |                                                                                          |                                               resonance ring
          Ishvara Earring |          0 |             Wardrobe |                                                                                          |                                              ishvara earring
           Smithy's Mitts |          0 |                 Safe |                                                                                          |                                               smithy's mitts
          Con. Doublet +3 |          0 |           Wardrobe 3 |                                                                                          |                                        convoker's doublet +3
           Silver Voucher |          0 |               Locker |                                                                                          |                                      silver A.M.A.N. voucher
        Weathering Shield |          0 |               Locker |                                                                                          |                                            weathering shield
          Mpaca's Doublet |          0 |           Wardrobe 7 |                                                                                          |                                              Mpaca's doublet
         Merlinic Shalwar |          0 |           Wardrobe 7 |                                                                                          |                                             merlinic shalwar
            Dragon Scales |          0 |               Locker |                                                                                          |                                     handful of dragon scales
            Grunfeld Rope |          0 |           Wardrobe 5 |                                                                                          |                                                grunfeld rope
            Wind Knife +1 |          0 |            Inventory |                                                                                          |                                                wind knife +1
                   Remedy |          0 |      Inventory, Sack |                                                                                          |                                                       remedy
            Hizamaru Ring |          0 |           Wardrobe 4 |                                                                                          |                                                Hizamaru ring
        Goldsmith's Smock |          0 |           Wardrobe 6 |                                                                                          |                                            goldsmith's smock
        Malignance Tabard |          0 |           Wardrobe 8 |                                                                                          |                                            malignance tabard
           Laksa. Frac +3 |          0 |           Wardrobe 3 |                                                                                          |                                          laksamana's frac +3
        Odnowa Earring +1 |          0 |           Wardrobe 3 |                                                                                          |                                            odnowa earring +1
               Chaac Belt |          0 |           Wardrobe 5 |                                                                                          |                                                   chaac belt
           Qirmiz Tathlum |          0 |               Safe 2 |                                                                                          |                                               qirmiz tathlum
       Flam. Zucchetto +2 |          0 |             Wardrobe |                                                                                          |                                          flamma zucchetto +2
            Voluspa Tachi |          0 |               Safe 2 |                                                                                          |                                                Voluspa tachi
             Prism Powder |          0 |            Inventory |                                                                                          |                                        pinch of prism powder
          Sherida Earring |          0 |           Wardrobe 3 |                                                                                          |                                              Sherida earring
           Valorous Mitts |          0 |           Wardrobe 7 |                                                                                          |                                               valorous mitts
